NodoDa;NodoA;AGV;TotaleConsumoNodo;Cont;MediaConsumoNodo;ConsumoMin;ConsumoMax;
577;578;4;0,088;2;0,044;0,044;0,044;
577;578;5;0,519;1;0,519;0,519;0,519;
578;577;5;0,126;1;0,126;0,126;0,126;
578;579;2;0,886;6;0,14767;0,01;0,563;
578;579;4;0,021;2;0,0105;0,01;0,011;
578;579;5;0,058;1;0,058;0,058;0,058;
579;578;2;0,074;2;0,037;0,032;0,042;
579;578;5;0,19;1;0,19;0,19;0,19;
579;580;2;0,219;5;0,0438;0,023;0,126;
579;580;4;0,044;2;0,022;0,022;0,022;
579;580;5;1,947;2;0,9735;0,065;1,882;
580;309;5;0,028;1;0,028;0,028;0,028;
580;579;5;0,048;2;0,024;0,024;0,024;
580;581;2;0,388;7;0,05543;0,016;0,241;
580;581;4;0,037;2;0,0185;0,018;0,019;
580;581;5;0,012;1;0,012;0,012;0,012;
581;579;2;0,032;1;0,032;0,032;0,032;
581;580;2;0,064;2;0,032;0,032;0,032;
581;580;5;0,025;2;0,0125;0,012;0,013;
581;582;2;0,084;4;0,021;0,02;0,022;
581;582;4;0,039;2;0,0195;0,019;0,02;
581;582;5;0,021;1;0,021;0,021;0,021;
582;581;5;0,023;2;0,0115;0,011;0,012;
582;583;2;0,042;4;0,0105;0,009;0,012;
582;583;4;0,017;2;0,0085;0,008;0,009;
582;583;5;0,011;1;0,011;0,011;0,011;
583;582;5;0,022;2;0,011;0,011;0,011;
583;584;2;0,036;4;0,009;0,008;0,01;
583;584;4;0,02;2;0,01;0,01;0,01;
583;584;5;0,01;1;0,01;0,01;0,01;
584;583;5;0,024;2;0,012;0,012;0,012;
584;585;2;0,039;4;0,00975;0,009;0,01;
584;585;4;0,016;2;0,008;0,007;0,009;
584;585;5;0,009;1;0,009;0,009;0,009;
585;584;5;0,022;2;0,011;0,011;0,011;
585;586;2;0,032;4;0,008;0,008;0,008;
585;586;4;0,016;2;0,008;0,008;0,008;
585;586;5;0,009;1;0,009;0,009;0,009;
586;585;5;0,022;2;0,011;0,011;0,011;
586;587;2;0,276;4;0,069;0,01;0,244;
