Id;PosPrel;Posdep;Priorita;TipoMissione;Generata;Fine;Agv;IDUDC;CodTipoMovimento;CodTipoMissione;CorsiaDeposito;Stato;FilaInCorsiaDeposito;Desc;Descrizione;PianoDep;PianoPrel;HDep;HPrel;CodUDC;NomePosPrel;TipoUDC;NomePosDep;
26418;1001;1010;0;4;22/11/2019_10:03:16;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26419;1001;1010;0;4;22/11/2019_10:03:18;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26420;1001;1010;0;4;22/11/2019_10:03:19;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26421;1001;1010;0;4;22/11/2019_10:03:20;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26422;1001;1010;0;4;22/11/2019_10:03:21;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26423;1001;1010;0;4;22/11/2019_10:03:22;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26424;1001;1010;0;4;22/11/2019_10:03:23;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26425;1001;1010;0;4;22/11/2019_10:03:24;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26426;1001;1010;0;4;22/11/2019_10:03:25;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26427;1001;1010;0;4;22/11/2019_10:03:26;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26428;1001;1010;0;4;22/11/2019_10:03:28;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26429;1001;1010;0;4;22/11/2019_10:03:29;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26430;1001;1010;0;4;22/11/2019_10:03:30;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26431;1001;1010;0;4;22/11/2019_10:03:31;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26432;1001;1010;0;4;22/11/2019_10:03:32;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26433;1001;1010;0;4;22/11/2019_10:03:33;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26434;1001;1010;0;4;22/11/2019_10:03:34;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26435;1001;1010;0;4;22/11/2019_10:03:35;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26436;1001;1010;0;4;22/11/2019_10:03:36;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
26437;1001;1010;0;4;22/11/2019_10:03:37;;3;0;4;4;;0;1;Missione_4______________________________________________________________________;;1;1;0;1;0;AGV101Z___________________________________________;0;;
